iter	Accuracy	Logloss
640	0.9642857143	0.05586275267
641	0.9642857143	0.05585276176
642	0.9642857143	0.05584272454
643	0.9642857143	0.05583273407
644	0.9642857143	0.05582284003
645	0.9642857143	0.05581289936
646	0.9642857143	0.05580309613
647	0.9642857143	0.0557901702
648	0.9642857143	0.0557803306
649	0.9642857143	0.05577062256
650	0.9642857143	0.05576083192
651	0.9642857143	0.05575108743
652	0.9642857143	0.05574146935
653	0.9642857143	0.05573177302
654	0.9642857143	0.05572212226
655	0.9642857143	0.05571259284
656	0.9642857143	0.05570298945
657	0.9642857143	0.05569343103
658	0.9642857143	0.05568398902
659	0.9642857143	0.05567447722
660	0.9642857143	0.05566500982
661	0.9642857143	0.05565565398
662	0.9642857143	0.05564623244
663	0.9642857143	0.05563685473
664	0.9642857143	0.05562758387
665	0.9642857143	0.05561825128
666	0.9642857143	0.05560906161
667	0.9642857143	0.05559685375
668	0.9642857143	0.0555876144
669	0.9642857143	0.05557850939
670	0.9642857143	0.05556223089
671	0.9642857143	0.0555531201
672	0.9642857143	0.05554409089
673	0.9642857143	0.05553500987
674	0.9642857143	0.05552605967
675	0.9642857143	0.05551418809
676	0.9642857143	0.05550519624
677	0.9642857143	0.05549632798
678	0.9642857143	0.05548737852
679	0.9642857143	0.05547847045
680	0.9642857143	0.0554696793
681	0.9642857143	0.05546081292
682	0.9642857143	0.05545198736
683	0.9642857143	0.05544327244
684	0.9642857143	0.05543448789
685	0.9642857143	0.05542574362
686	0.9642857143	0.05541710402
687	0.9642857143	0.05540840011
688	0.9642857143	0.05539983362
689	0.9642857143	0.05538443607
690	0.9642857143	0.05537586186
691	0.9642857143	0.05536736292
692	0.9642857143	0.05535880506
693	0.9642857143	0.05535037803
694	0.9642857143	0.05533914882
695	0.9642857143	0.05533067325
696	0.9642857143	0.05532232023
697	0.9642857143	0.05531121204
698	0.9642857143	0.0553028173
699	0.9642857143	0.0552945377
700	0.9642857143	0.05528618088
701	0.9642857143	0.05527786203
702	0.9642857143	0.05526965142
703	0.9642857143	0.05526136987
704	0.9642857143	0.05525312577
705	0.9642857143	0.05524498343
706	0.9642857143	0.05523677604
707	0.9642857143	0.05522860559
708	0.9642857143	0.05522053081
709	0.9642857143	0.05521239647
710	0.9642857143	0.05520438817
711	0.9642857143	0.05519369548
712	0.9642857143	0.05518563787
713	0.9642857143	0.0551776975
714	0.9642857143	0.05516967551
715	0.9642857143	0.05516168985
716	0.9642857143	0.05515381315
717	0.9642857143	0.0551458625
718	0.9642857143	0.05513794766
719	0.9642857143	0.0551301341
720	0.9642857143	0.0551222537
721	0.9642857143	0.05511450293
722	0.9642857143	0.05510048477
723	0.9642857143	0.05509272393
724	0.9642857143	0.0550850294
725	0.9642857143	0.05507727628
726	0.9642857143	0.0550696438
727	0.9642857143	0.05505942889
728	0.9642857143	0.05505174745
729	0.9642857143	0.05504417792
730	0.9642857143	0.05503652943
731	0.9642857143	0.05502891516
732	0.9642857143	0.05502140452
733	0.9642857143	0.05501382265
734	0.9642857143	0.05500627449
735	0.9642857143	0.05499882234
736	0.9642857143	0.05499130604
737	0.9642857143	0.05498391264
738	0.9642857143	0.0549739935
739	0.9642857143	0.05496654612
740	0.9642857143	0.05495921208
741	0.9642857143	0.05494939457
742	0.9642857143	0.05494201482
743	0.9642857143	0.0549347399
744	0.9642857143	0.05492739102
745	0.9642857143	0.05492007465
746	0.9642857143	0.05491285501
747	0.9642857143	0.05490556899
748	0.9642857143	0.0548984053
749	0.9642857143	0.05488540412
750	0.9642857143	0.05487822903
751	0.9642857143	0.05487111412
752	0.9642857143	0.05486394209
753	0.9642857143	0.05485688262
754	0.9642857143	0.05484741857
755	0.9642857143	0.05484031072
756	0.9642857143	0.05483330678
757	0.9642857143	0.05482622798
758	0.9642857143	0.05481918025
759	0.9642857143	0.0548122282
760	0.9642857143	0.05480520904
761	0.9642857143	0.05479831
762	0.9642857143	0.05478577085
763	0.9642857143	0.05477885987
764	0.9642857143	0.05477200639
765	0.9642857143	0.05476509533
766	0.9642857143	0.05475829444
767	0.9642857143	0.05474916573
768	0.9642857143	0.05474231555
769	0.9642857143	0.05473556697
770	0.9642857143	0.05472874416
771	0.9642857143	0.05472195101
772	0.9642857143	0.05471525129
773	0.9642857143	0.05470848504
774	0.9642857143	0.05470183565
775	0.9642857143	0.05468973623
776	0.9642857143	0.05468307445
777	0.9642857143	0.05467646773
778	0.9642857143	0.05466980402
779	0.9642857143	0.05466324728
780	0.9642857143	0.05465443682
781	0.9642857143	0.0546478309
782	0.9642857143	0.05464132354
783	0.9642857143	0.05463474339
784	0.9642857143	0.05462819158
785	0.9642857143	0.05462173033
786	0.9642857143	0.05461520386
787	0.9642857143	0.05460879049
788	0.9642857143	0.05459710923
789	0.9642857143	0.05459068309
790	0.9642857143	0.05458430974
791	0.9642857143	0.05457788059
792	0.9642857143	0.05457155482
793	0.9642857143	0.05456304653
794	0.9642857143	0.05455667225
795	0.9642857143	0.05455039318
796	0.9642857143	0.0545440432
797	0.9642857143	0.05453772031
798	0.9642857143	0.05453148482
799	0.9642857143	0.0545251858
800	0.9642857143	0.05451899593
801	0.9642857143	0.05451065674
802	0.9642857143	0.05450441139
803	0.9642857143	0.05449826608
804	0.9642857143	0.05449204434
805	0.9642857143	0.05448584919
806	0.9642857143	0.05447974548
807	0.9642857143	0.05447357352
808	0.9642857143	0.05446742772
809	0.9642857143	0.05446136553
810	0.9642857143	0.05445524253
811	0.9642857143	0.05444922413
812	0.9642857143	0.05444110594
813	0.9642857143	0.0544350345
814	0.9642857143	0.0544290587
815	0.9642857143	0.05442300981
816	0.9642857143	0.0544169866
817	0.9642857143	0.05441105048
818	0.9642857143	0.05440504942
819	0.9642857143	0.05439915549
820	0.9642857143	0.05438837233
821	0.9642857143	0.05438246494
822	0.9642857143	0.05437660509
823	0.9642857143	0.05437069071
824	0.9642857143	0.05436487294
825	0.9642857143	0.05435898019
826	0.9642857143	0.05435311239
827	0.9642857143	0.05434733239
828	0.9642857143	0.05434148583
829	0.9642857143	0.05433574635
830	0.9642857143	0.05432797727
831	0.9642857143	0.05432217932
832	0.9642857143	0.0543164789
833	0.9642857143	0.05430878156
834	0.9642857143	0.05430303124
835	0.9642857143	0.05429736998
836	0.9642857143	0.05429164027
837	0.9642857143	0.05428593451
838	0.9642857143	0.05428030969
839	0.9642857143	0.05427462417
840	0.9642857143	0.05426903855
841	0.9642857143	0.0542588066
842	0.9642857143	0.05425320726
843	0.9642857143	0.0542476526
844	0.9642857143	0.05424204723
845	0.9642857143	0.05423653173
846	0.9642857143	0.05423094613
847	0.9642857143	0.05422538382
848	0.9642857143	0.05421990305
849	0.9642857143	0.05421436016
850	0.9642857143	0.05420891709
851	0.9642857143	0.0542015425
852	0.9642857143	0.0541960446
853	0.9642857143	0.05419063751
854	0.9642857143	0.05418515883
855	0.9642857143	0.05417970298
856	0.9642857143	0.05417432928
857	0.9642857143	0.05416889228
858	0.9642857143	0.05416355511
859	0.9642857143	0.05415631879
860	0.9642857143	0.05415092568
861	0.9642857143	0.0541456232
862	0.9642857143	0.05414024875
863	0.9642857143	0.05413489664
864	0.9642857143	0.05412962636
865	0.9642857143	0.05412429255
866	0.9642857143	0.05411905771
867	0.9642857143	0.05410942774
868	0.9642857143	0.05410417888
869	0.9642857143	0.05409897118
870	0.9642857143	0.05409371097
871	0.9642857143	0.05408853877
872	0.9642857143	0.05408329644
